Issue Type,Issue key,Assignee,Status,Priority,Updated
Bug,TTOP-242,gil9red,Open,Ordinary,17-01-2018 15:05
Bug,TTOP-248,gil9red,Resolved,Moderate/Major,17-01-2018 14:45
Task,TTOP-234,gil9red,Resolved,Ordinary,17-01-2018 14:41
Bug,TTOP-181,gil9red,Open,Ordinary,16-01-2018 20:20
Task,TTOP-338,gil9red,Closed,Ordinary,16-01-2018 16:46
Bug,TTOP-190,gil9red,Resolved,Ordinary,16-01-2018 12:53
Bug,TTOP-281,gil9red,Resolved,Ordinary,16-01-2018 10:27
Task,TTOP-291,gil9red,Closed,Ordinary,15-01-2018 14:32
Bug,TTOP-286,gil9red,Resolved,Ordinary,15-01-2018 11:11
Bug,TTOP-296,gil9red,Closed,Ordinary,15-01-2018 10:12
Task,TTOP-292,gil9red,Resolved,Ordinary,12-01-2018 15:07
New Feature,TTOP-336,gil9red,Closed,Ordinary,12-01-2018 13:43
Task,TTOP-337,gil9red,Closed,Ordinary,12-01-2018 13:43
Task,TTOP-279,gil9red,Resolved,Ordinary,12-01-2018 12:30
New Feature,TTOP-335,gil9red,Closed,Ordinary,12-01-2018 12:28
Task,TTOP-194,gil9red,Resolved,Ordinary,12-01-2018 11:48
Bug,TTOP-316,gil9red,Resolved,Moderate/Major,11-01-2018 10:42
Task,TTOP-168,gil9red,Resolved,Ordinary,10-01-2018 11:38
Task,TTOP-266,gil9red,Open,Ordinary,09-01-2018 17:55
Question,TTOP-334,gil9red,Closed,Moderate/Major,09-01-2018 10:47
Bug,TTOP-207,gil9red,Resolved,Ordinary,29-12-2017 15:57
Bug,TTOP-200,gil9red,Resolved,Ordinary,29-12-2017 15:47
Bug,TTOP-228,gil9red,Resolved,Ordinary,29-12-2017 15:43
Bug,TTOP-241,gil9red,Resolved,Ordinary,29-12-2017 15:40
Bug,TTOP-254,gil9red,Resolved,Ordinary,29-12-2017 15:40
Question,TTOP-253,gil9red,Resolved,Ordinary,29-12-2017 15:35
Question,TTOP-307,gil9red,Resolved,Ordinary,29-12-2017 15:28
Bug,TTOP-308,gil9red,Open,Ordinary,29-12-2017 11:47
Bug,TTOP-192,gil9red,Resolved,Ordinary,28-12-2017 10:55
New Feature,TTOP-87,gil9red,Resolved,Info Request/Minor,25-12-2017 10:39
Question,RBTWS-19486,gil9red,Closed,Moderate/Major,19-12-2017 12:33
Task,RBTWS-20795,gil9red,Open,Ordinary,04-12-2017 10:38
Bug,TTOP-318,gil9red,Resolved,Ordinary,21-11-2017 16:51
Question,TTOP-314,gil9red,Closed,Moderate/Major,18-11-2017 22:01
Bug,TTOP-240,gil9red,Resolved,Moderate/Major,17-11-2017 18:52
Task,TTOP-227,gil9red,Resolved,Ordinary,17-11-2017 18:51
Task,STTXS-218,gil9red,Closed,Moderate/Major,17-11-2017 12:40
Task,TTOP-67,gil9red,Open,Info Request/Minor,16-11-2017 11:25
Bug,TTOP-151,gil9red,Resolved,Ordinary,16-11-2017 11:16
Task,RBTWS-20981,gil9red,Closed,Ordinary,10-11-2017 14:20
Question,TTOP-310,gil9red,Resolved,Moderate/Major,09-11-2017 16:09
Task,TTOP-309,gil9red,Closed,Ordinary,01-11-2017 15:13
Sub-task,RBTWS-15326,gil9red,Open,Ordinary,26-10-2017 10:46
